seq,xcol, ycol
499,2032.721, 894.93896
500,4066.6113, 5803.403
501,945.6125, 5079.152
502,1655.8234, 5738.511
503,0.0, 554.3264
504,938.7674, 1563.4171
505,820.9064, 441.42322
506,3472.9185, 4657.7524
507,1168.2355, 3747.2842
508,1327.2527, 2170.3484
509,1693.1844, 5088.27
510,1075.4958, 515.78674
511,0.0, 1153.2479
512,2629.3533, 4107.6914
513,2412.139, 5059.5586
514,3014.9983, 5983.9087
515,0.0, 558.45483
516,1086.4171, 378.0416
517,1599.6307, 5413.1455
518,1431.4481, 484.1191
519,3028.3174, 6477.461
520,1958.5514, 2969.3535
521,834.62256, 1650.4794
522,354.61053, 4250.458
523,0.0, 1074.1306
524,719.3234, 1363.8344
525,349.09677, 3165.863
526,2397.385, 4642.9663
527,3247.3499, 6018.4023
528,1210.4407, 486.87317
529,1982.0322, 528.17596
530,0.0, 387.68857
531,437.2906, 1635.7748
532,926.44403, 397.33484
533,0.0, 503.39612
534,1649.1431, 5395.308
535,1894.373, 1297.4115
536,1865.4419, 5243.6934
537,2552.5588, 4025.9897
538,2181.8193, 6537.204
539,1975.515, 808.5594
540,755.0307, 4342.7417
541,2680.4993, 6359.594
542,1902.2512, 4528.7173
543,706.9595, 683.60016
544,3674.9807, 5167.338
545,1120.5281, 5088.618
546,1532.5166, 5964.637
547,974.35254, 6082.94
548,0.0, 3272.8157
549,0.0, 577.7186
550,1941.5605, 5113.994
551,3311.2046, 5420.9453
552,5449.5, 6563.1035
553,0.0, 491.00412
554,0.0, 983.9291
555,231.88342, 5291.832
556,2955.7024, 5317.3447
557,1151.8851, 2827.341
558,231.88342, 1458.443
559,2355.3665, 933.29065
560,0.0, 457.95245
561,1698.5149, 3964.6116
562,1889.118, 752.2846
563,1278.4065, 782.48627
564,1525.793, 2218.6614
565,2898.2043, 5079.858
566,276.02072, 579.0945
567,295.32712, 2171.6238
568,1687.8523, 4174.749
569,742.67236, 3660.65
570,3208.4573, 2216.1265
571,2562.0872, 3480.835
572,0.0, 849.70703
573,46.94821, 951.08795
574,3666.1296, 5561.507
575,44.1868, 3459.3582
576,1722.4796, 1234.9242
577,4129.477, 5961.424
578,4151.152, 5623.4907
579,2459.8042, 5491.347
580,1481.3646, 1689.1855
581,818.1628, 646.4869
582,4565.604, 6183.9497
583,2221.1953, 6239.8413
584,2171.6238, 5122.3125
585,701.46375, 3991.05
586,0.0, 6022.7515
587,4451.5654, 5683.885
588,62.135426, 595.6031
589,989.4006, 499.2656
590,28.998463, 5145.5864
591,617.6103, 536.4347
592,4231.5923, 1416.5883
593,1879.9161, 5174.4976
594,2000.258, 4698.9106
595,2858.084, 5319.865
596,0.0, 3727.3674
597,5462.5947, 1300.1256
598,4378.5146, 6659.716
599,0.0, 594.2275
600,2637.5366, 3256.4873
601,0.0, 1670.5109
602,2768.2734, 4994.8906
603,1346.2268, 5080.328
604,1447.6487, 3971.8022
605,0.0, 373.90698
606,667.1073, 4208.765
607,211.19026, 3148.5586
608,445.55573, 5340.151
609,919.59656, 3241.8447
610,979.8251, 3731.25
611,1837.7622, 5675.687
612,1400.3676, 1168.2355
613,3609.4644, 6049.752
614,1811.3452, 881.23584
615,737.17914, 673.97974
616,82.84368, 6101.463
617,1835.1229, 5743.3257
618,1046.815, 6114.0347
619,2089.5835, 503.39612
620,1256.6725, 6036.516
621,59.374184, 3803.7542
622,342.20428, 623.11127
623,2044.3807, 4282.285
624,0.0, 771.5053
625,240.16003, 3662.7078
626,931.9214, 643.7371
